institution_name,country
"""Author for correspondence at present address: Department of Biology, Northeastem University, Boston, MA 02115, USA (j.grim@neu.edu)",USA
"""Present address: DAFS, Marine Laboratory, PO Box 101, Victoria Road, Aberdeen AB9 $DB, Scotland.",
"# Cyprus Marine and Maritime Institute, CMMI House Vasileos Pavlou Square, PO Box 409 30, Larnaca, Cyprus",Cyprus
#2011InternationalCouncilfortheExplorationoftheSea.PublishedbyOxfordUniversityPress.Allrightsreserved.,
#2012InternationalCouncilfortheExplorationoftheSea.PublishedbyOxfordUniversityPress.Allrightsreserved.,
#2013InternationalCouncilfortheExplorationoftheSea.PublishedbyOxfordUniversityPress.Allrightsreserved.,
#CrownCopyright2012.PublishedbyOxfordUniversityPress.Allrightsreserved.,
#TheAuthor2011.PublishedbyOxfordUniversityPressonbehalfofInternationalCouncilfortheExplorationoftheSea.,
"$ Present address: Department of Biology, East Carolina University, Greenville, North Carolina 27834",
"$The Australian Museum, 6 College Street, Sydney, New South Wales 2000, Australia",Australia
"' Department of Environmental Biology and Fisheries Science, National Taiwan Ocean University, Keelung, Taiwan, R.O.C.",Taiwan
"'Centre for Microscopy and Microanalysis, The University of Queensland, Brisbane, Queensland 4072, Australia",Australia
"'Department of Chemistry & Biological Sciences, Oregon Graduate Institute, Beaverton, OR 97006, U.S.A.",
"'Department of Microbiology and Parasitology, School of Molecular and Microbial Sciences,",
"'Department of Veterinary Science, University of Melbourne, Parkville, Victoria 3052, Australia",Australia
"'ShulerMuseum ofPaleontology,Southern Methodist University,",
"'’Institute of Marine Affairs and Resource Management, National Taiwan Ocean University, Keelung, Taiwan, R.O.C.",Taiwan
"(ARDITI), Funchal, Portugal. 4Department of Biological Sciences, Florida International University, Miami,",Portugal
"(AREEO), South Iran Aquaculture Research Center, Iranian prey for a particular elasmobranch species (Bascompte et al.",
"(Air Forces Institute of Pathology, 1960).",
"(Angulo-Valdés); and the University of Texas Marine Science Institute, Port Aransas, TX 78373 (Bernal).",
"(Aubrey et al., 2007). In the mammalian brainstem and *Correspondence to: F(cid:2)atima Adrio, Department of Cell Biology and",
"(BiGeA), Laboratory of Genetics & Genomics",
"(CIBIO-InBIO),Portugal MandelaUniversity,Gqeberha,SouthAfrica,7CentreforAfricanConservationEcology,ZoologyDepartment,Nelson",Portugal
"(CIIMAR/CIMAR),UniversityofPorto(U.Porto),",
"(CMCA), The University of Western Australia, 35 Stirling",Australia
"(CNRS-L/CNSM), Batroun, Lebanon, †Université de Perpignan Via Domitia, Centre de",Lebanon
"(CSIRO),Australia Ecology,EnvironmentandConservation,DepartmentofStatisticalSciences,UniversityofCapeTown,Rondebosch,",Australia
(Charles Sturt University and NSW,
"(CoNISMa), Piazzale Flaminio, Rome, Italy 10 Department of Environmental Biology, Sapienza University",Italy
"(Compagno, 1999). This figure does not include several formerlytheSeaFisheriesResearchInstitute)researchship",
"(CurtisandTringali);theSoutheastFisheriesScienceCenter,NationalMarineFisheriesService,PanamaCity,FL(Carlson);",Panama
"(Distribution restricted) SAST - School shark - 1,O8(O4)O1LO",
"(Donsol Tourism Center, 2005; Ravanilla, personal communi- behavioratspecifictimesoftheyear,slowmaturationrate,and",
"(EBD-CSIC), C/Ame´rico Vespucio s/n, 41092, Sevilla, Spain: 3Institute of",Spain
"(Forster 1965, 1967, 1968, Tempelman 1973a, Museum of Bergen University (Norway) where it",Norway
"(GenoDREAM), University of Bologna, Ravenna, Italy",Italy
"(GenoDREAM), University of Bologna, Sea, using phylogenetic and dispersal vicariance analyses to trace back its global",
"(IMBRSea), Ghent University, Ghent, Belgium",Belgium
"(IOMRC), The University of Western Australia, Cnr Fairway 7 School of Life Sciences, La Trobe University, Plenty Road",Australia
"(IPN),Mexico 1NationalMarineScienceCentre,FacultyofScienceandEngineering,SouthernCrossUniversity,Coffs",Mexico
"(IPSC), European Commission – Joint Research Centre, via E.",
"(IRD,UR,UNC,IFREMER,CNRS),CentreIRDdeNouméa,Nouméa,Nouvelle-Calédonie,France.7WildlifeMarine,Perth,WA,Australia.8DepartmentofEnvironmentand",France
"(ISPRA),Rome,Italy,2DepartmentofBioEcologicalSciences,UniversityofTuscia,Viterbo,Italy,3Oceans",Italy
"(J.H.H., S.C., D.N.); Department of Medicine and Liver Centel; Yale",
"(LEEM), National Institute for Amazonian Research (INPA), ply, and the resulting constraints on ventilatory and circula-",
"(LERVEM) , University of New Caledonia , Noumea , New",
"(LaRPe), Constituyente, 1497 Montevideo, Uruguay, ‡Portuguese Institute for the Ocean and",
"(Marine Operations Centre), South Fremantle, WA 6162,",
"(MarineBiologicalAssociation,UniversityofPlymouth) EmailAddressforcorrespondence:nicmph@mba.ac.uk",UK
"(McEachran and Musick, 1975). Northeast Fisheries Science Center (NEFSC) bottom",
"(Mustelus antarcticus) (Walker 1998), school shark susceptibility of chondrichthyan species (Stobutzki et al. 2002;",
"(NOAA),RupertG.Perkins(CardiffUniversity)",
"(OGS),Trieste,Italy,6InstituteofMarineBiology,UniversityofMontenegro,Kotor,Montenegro,",Italy
"(Olsen 1954, 1959; Hughes 1971). Smaller fisheries have also centred on southern New",
"(PK), kinetoplast centre to nucleus centre (KN), nucleus",
"(PROVITA), Caracas, Venezuela and ‖Institute for the Oceans and Fisheries, University of",Venezuela
"(QERM),Box355020,UniversityofWashington, Seattle, WA98195,USA.",USA
"(SANParks), South Africa, 10Tourism Research in Economics, Environs and Society (TREES), North-West University, South Africa, 11Wildlife and",South Africa
"(SD) 22]) and behaviorally recovered Mote Marine Laboratory Sea Research Foundation, Inc.",
"(Silliman University field numbers JPAG 328 and BRU 171), and sequenced using the NAHD2 gene (Naylor et al.,",
"(Tiergarten Schönbrunn, Vienna), and Cassandra Rigby (Northern Fisheries Centre, Cairns). We also",
"(TropWATER), School of Marine and Tropical Biology, James",
"(UNIFESP),R.CarvalhodeMendonc¸a,144, SharkResearch,UniversityofFlorida,Gainesville,FL,",
"(VOICE),Dhaka,Bangladesh,3NationalUniversityofBangladesh,Gazipur,Bangladesh,4BangladeshYouthEnvironmental",Bangladesh
"(Wintner); the Great Lakes Institute for Environmental Research University of Windsor, Windsor, Ontario N9B3P4,",
"(Zoology),UniversityofAberdeen,TillydroneAvenue,Aber-",
"(cid:1)(cid:2)(cid:3)(cid:1)(cid:4)(cid:5)(cid:6)(cid:7)(cid:8)(cid:1) 11 DepartmentofMarineScienceandLimnology,MarineScienceandTechnologyFaculty,",
"(cid:1)(cid:2)(cid:3)(cid:1)(cid:4)(cid:5)(cid:6)(cid:7)(cid:8)(cid:1) 11 MarineEcologyGroup,DepartmentofBiologicalSciences,MacquarieUniversity,Sydney,",
"(cid:1)(cid:2)(cid:3)(cid:4)(cid:5)(cid:6)(cid:7) 5 DepartmentofCellBiologyandHistology,FacultyofMedicine,UniversityofMurcia,CampusMare",
"(cid:1)(cid:2)(cid:3)(cid:4)(cid:5)(cid:6)(cid:7) ÇanakkaleOnsekizMartUniversity,Canakkale17020,Turkey;cyigin@hotmail.com",Turkey
(cid:1)2022TheAuthor(s).PublishedbyElsevierB.V.onbehalfofKingSaudUniversity.Thisisanopenaccess,
(cid:1)TheAuthor2007.PublishedbyOxfordUniversityPressonbehalfoftheSocietyforIntegrativeandComparativeBiology.Allrightsreserved.,
(cid:1)TheAuthor2008.PublishedbyOxfordUniversityPressonbehalfof,
(cid:1)TheAuthor2010.PublishedbyOxfordUniversityPressonbehalfof,
"(cid:2)70 yr after L. okae (Moore, 1924). In the late 1990s, Ocean- Itoh, Hokkaido University, and they were preserved in 10% formalin",
"(cid:2)Industry and Investment NSW, Port Stephens Fisheries Institute, Taylors Beach Road,",
"(cid:2)Presentaddress:FlatsEcologyandConservationProgram,CapeEleutheraInstitute,c/oTwinAir,3406SW",
(cid:2)TheAuthor2010.PublishedbyOxfordUniversityPressonbehalfoftheSocietyforIntegrativeandComparativeBiology.Allrightsreserved.,
(cid:2)TheAuthor2011.PublishedbyOxfordUniversityPressonbehalfoftheSocietyforIntegrativeandComparativeBiology.Allrightsreserved.,
(cid:2)TheAuthor2015.PublishedbyOxfordUniversityPressonbehalfoftheSocietyforIntegrativeandComparativeBiology.Allrightsreserved.,
"(cid:2)TheFieldMuseum,PritzkerLaboratoryforMolecularSystematicsandEvolution,Chicago,IL,USA",USA
(cid:3)C TheAuthor(s)2022.PublishedbyOxfordUniversityPressonbehalfoftheSocietyforIntegrativeandComparativeBiology.Allrightsreserved.,
"(cid:3)DivisionofMarineBiologyandFisheries,RosenstielSchoolofMarineandAtmosphericScience,Miami,FL,USA",USA
"(e.g.,schoolsoffish,podsofmarinemammals)movealongcoastlines, poorlystudiedacrossmarineecosystems andthuslimit ourunder-",
(i.e. a drop-off on a reef edge) or with schools of other,
"(ii) “sardine blitz”, which refer to striking schools of fishes (mainly sardines) in the surf zone. The first tactic was restricted to",
)N THE SCHOOL SHARK,
"* Connor R. Gervais 4 School of Allied Health Sciences, Gold Coast Campus,",
"* Contribution Number 359, Department of Biology",
"* Correspondence and present address: C. L. Dudgeon, School of Veterinary",
"* Correspondence and present address: N. C. Armansin, Department of",
"* Correspondence to: Institute of Marine Science, University of Auckland, Science Centre, Building 302 Level 3 Room 331, 23 Symonds Street, Auckland 1010, New",
"* Correspondence: Dr K.V. Akhilesh, ICAR, Central Marine Fisheries Research Institute, Mumbai Research Centre, 2nd Floor, CIFE Old Campus, Fishe-",
"* Correspondence: K. S. Andrews, Northwest Fisheries Science Center/NOAA",
"* Correspondence:F.Dhellemmes,LeibnizinstituteforFreshwaterEcologyand tendencyandlatencytorespondtoprey(Pruittetal.,2010).These",
"* Correspondence:J.Mourier,USR3278CNRS-EPHE,CentredeRechercheInsulaire sharks (Jacoby et al. 2011). Grouping behaviours are seen in the",
* Correspondence:edy@elasmobranchinstitute.id,
"* Correspondenceto:ArianaLambrides,SchoolofSocialScience,University urohyal. Currently, fish bone identification protocols",
"* Corresponding author at: Biology Department, College of Science, UAE University, P.O. Box 15551, Al Ain, United Arab Emirates",UAE
"* Corresponding author at: Department of Wildlife and Range Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana.",
"* Corresponding author at: Hopkins Marine Station, Stanford University, Pacific Grove, CA, USA.",USA
"* Corresponding author at: Institute of Environment, Department of Biological Sciences, Florida International University, North Miami, FL, United States.",United States
"* Corresponding author at: Institute of Parasitology, Biology Centre, Czech Academy of Sciences, C ˇ esk´e Budˇejovice 370 05, Czech Republic.",Czech Republic
"* Corresponding author at: Savannah River Ecology Laboratory Savannah River Site, Building 737-A Aiken, SC 29802, USA.",USA
"* Corresponding author at: Shanghai Ocean University, 999 Huchenghuan Road, Shanghai 201306, China.",China
"* Corresponding author. Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn, Cornwall, TR10 9FE,",
"* Corresponding author. College of Marine Sciences, Shanghai Ocean University, Shanghai, China.",China
* Corresponding author. Department of Ecology and,
"* Corresponding author. Griffith Centre for Coastal management, Griffith School of Engineering, Griffith University, Gold Coast, Queensland, 4222,",
"* Corresponding author. Institute of Marine Research (IMAR), Centre IMAR of the University of the Azores, Rua Professor Doutor Frederico Machado No. 4, 9901-",
"* Corresponding author. Lingnan Normal University, Zhanjiang, 524048, China.",China
"* Corresponding author. Present address: Department of Biology,",
"* Corresponding author. Rosenstiel School of Marine and Atmospheric Science, University of Miami, Miami, FL, USA.",USA
"* Corresponding author. School of Biological Sciences, Zoology Building, Till-",
"* Corresponding author. Southern Cross University, National Marine Science Centre, Coffs Harbour, NSW, Australia.",Australia
"* Corresponding author. UMR 7204 MNHN-UPMC-CNRS Centre d’Ecologie et de Sciences de la COnservation, 43 Rue Buffon, CP135, 75005, Paris, France.",France
"* Corresponding author. University of Alicante, Avd. Mediterrani, 10 Urb. Baladrar, C.P. 03720, Benissa, Alicante, Spain.",Spain
"* Corresponding author. University of Ferrara, via L. Borsari 46, 44121, Ferrara, Italy.",Italy
"* Corresponding author.College of Business, Law and Governance, James Cook University, Townsville, 4811, Queensland, Australia.",Australia
"* Corresponding author: 3000 NE 151st Street, Marine Science Building Rm. 358, Biscayne Bay Campus, Florida International University, North Miami, FL, 33181.",
"* Corresponding author: School of Biology, University",
"* Correspondingauthor. Rhodes University, Departments ofAnthropologyand AustraliaandSouthAfricarankamongthemostaffectedcountries",Australia
"* Correspondingauthor.CollegeofFoodandBiologicalEngineering,JimeiUniversity,Xiamen361021,China.Tel.:+865926180470;fax:",China
"* Correspondingauthor.Currentaddress:SchoolofBiologicalSciences,Zoology avidity,doesnotundergoaffinitymaturationanddoesnotappear",
"* Correspondingauthor.DaemenCollege,NaturalSciencesDepartment,4380MainStreet,Amherst,NY14226,USA.Tel.:þ17165372840;",USA
"* Correspondingauthor.DepartmentofBiology,SanDiegoStateUniversity,San (PCBs), chlordanes (CHLs) and dichlorodiphenyl-trichloroethane",
"* Correspondingauthor.DepartmentofGeosciences,UniversityofPadova,ViaG.",
"* Correspondingauthor.DepartmentofRegionalEnvironment,TottoriUniversity, ΔO,ΔC,ΔA,ΔD,ΔB,andΔT.5f,gThecartilageandliverofBluesharks",
"* Correspondingauthor.FacultyofFisheriesandProtectionofWaters,Research",
"* Correspondingauthor.FisheriesResearchStation,KyotoUniversity,Nagahama,Maizuru,Kyoto625-0086",
"* Correspondingauthor.PortugueseInstitutefortheOceanandAtmosphere,I.P.",
"* Correspondingauthor.TheInterdisciplinaryCentreforConservationScience,DepartmentofZoology,UniversityofOxford,11aMansfieldRd,Oxford,",
"* Correspondingauthor.UniversityofMassachusettsDartmouth,MA,USA. (C.leucas),whichwerespeciessuspectedasbeingresponsiblefor",USA
"* Correspondingauthor:Address:ResearchInstituteforClimateChangeandSustainability,SchoolofEarthandEnvironmentalSciences,",
