literature_id,filename,year,url,status,message,download_date
34557,2025/Alexandre.etal.2025.Reconstr trophic structure Maastric elasmobranch communit.pdf,2025,https://www.sciencedirect.com/science/article/pii/S1342937X25001819/pdfft?md5=52d73c1838295169100703517873db2a&pid=1-s2.0-S1342937X25001819-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34680,2025/Ahn.etal.2025.Projecting poleward habitat expansion whale sharks.pdf,2025,https://www.sciencedirect.com/science/article/pii/S2351989425002756/pdfft?md5=8e40e4a10bd8202c512028b9630a84c3&pid=1-s2.0-S2351989425002756-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34597,2025/AdánTorres.etal.2025.Molecular morpholo characte phylogen affinities new records.pdf,2025,https://www.sciencedirect.com/science/article/pii/S1383576925000686/pdfft?md5=aae055331a7fcef9229c31aa34a93944&pid=1-s2.0-S1383576925000686-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34075,2025/Aranha.etal.2025.Unravell deep Assessing bycatch deep-sea elasmobranchs.pdf,2025,https://www.sciencedirect.com/science/article/pii/S0308597X24005554/pdfft?md5=7c203ff79feaf0643860bd4cfa0edc34&pid=1-s2.0-S0308597X24005554-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34068,2025/Apablaza.etal.2025.pilot tagging study yellownose skate Dipturus chilensis.pdf,2025,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8948951E7E99799AC3265E942DFD9F8C/S0025315424001152a.pdf/a-pilot-tagging-study-of-yellownose-skate-dipturus-chilensis-and-roughskin-skate-dipturus-trachyderma-off-southern-chile.pdf,error,Not a valid PDF (got text/html; charset=utf-8),2025-10-21 21:11:36
34682,2025/Bierwirth.etal.2025.Opportun science touristic shark feeding aggregat - review.pdf,2025,https://www.sciencedirect.com/science/article/pii/S2351989425002914/pdfft?md5=313fe042b4cf52575294ba716c464496&pid=1-s2.0-S2351989425002914-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34828,2025/Bigal.etal.2025.Fatal shark incident eastern Mediterr Sea highlights urgent.pdf,2025,https://www.sciencedirect.com/science/article/pii/S0964569125003102/pdfft?md5=c8e4e4eac6e3a85868f538bb7d65e88b&pid=1-s2.0-S0964569125003102-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
33681,2025/Broadhurst.etal.2025.Effects headline height catches southeas Australian fish.pdf,2025,https://www.sciencedirect.com/science/article/pii/S0165783624002832/pdfft?md5=5bf74318ae322c7e2fefdb4e0a8607c9&pid=1-s2.0-S0165783624002832-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34651,2025/Brawermann.etal.2025.Investig behaviou responses tiger sharks Galeocerdo cuvier.pdf,2025,https://brill.com/downloadpdf/view/journals/beh/162/5/article-p331_1.pdf,error,HTTP 202,2025-10-21 21:11:36
34523,2025/Brown.etal.2025.Future climate- habitat loss range shift Critically.pdf,2025,https://peerj.com/articles/18787.pdf,error,HTTP 400,2025-10-21 21:11:36
34673,2025/Cadigan.etal.2025.Early life-stage adult producti dynamics derived from.pdf,2025,https://www.sciencedirect.com/science/article/pii/S016578362500133X/pdfft?md5=5084dbcb36bd0ad47c8edbd3a10849b2&pid=1-s2.0-S016578362500133X-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34630,2025/Carabelli.etal.2025.Knowledge drives conservation Tackling shark consumpt issue.pdf,2025,https://www.sciencedirect.com/science/article/pii/S0308597X25002210/pdfft?md5=a6581abb6f9e5b52591c10e866ac5c7c&pid=1-s2.0-S0308597X25002210-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
34962,2025/Castrejon.etal.2025.Revealing unseen Shark finning Galapagos Marine Reserve.pdf,2025,https://www.sciencedirect.com/science/article/pii/S0006320725004896/pdfft?md5=0899c191ce9406d18db94823514a1ce2&pid=1-s2.0-S0006320725004896-main.pdf,error,Not a valid PDF (got text/html),2025-10-21 21:11:36
